Kurskod,Kursnamn,Poäng,Ämne
"HALC1000X","Nivå 1","100","Hälso- och sjukvård"
"HALC2000X","Nivå 2","100","Hälso- och sjukvård"
"HALERG0","Ergonomi","100","Hälsa"
"HALHAL0","Hälsopedagogik","100","Hälsa"
"HALKOC0","Kost och hälsa","100","Hälsa"
"HALL1000X","Nivå 1","100","Hållbar produktion"
"HALL2000X","Nivå 2","100","Hållbar produktion"
"HALMEN0","Mental träning","100","Hälsa"
"HALO1000X","Nivå 1","100","Hälsa och välbefinnande"
"HALR100TX","Nivå 1","100","Hållbara energisystem"
"HALR200TX","Nivå 2","100","Hållbara energisystem"
"HALS1000X","Nivå 1","100","Hälsopedagogik"
"HALT1000X","Nivå 1","100","Håltagning"
"HALT2000X","Nivå 2","200","Håltagning"
"HANAFR0","Affärsutveckling och ledarskap","100","Handel"
"HANBRA0","Branschkunskap inom handel","100","Handel"
"HAND1000X","Nivå 1","100","Handel"
"HAND2000X","Nivå 2","100","Handel"
"HAND3000X","Nivå 3","100","Handel"
"HANE1000X","Nivå 1","100","Handel och hållbar utveckling"
"HANE2000X","Nivå 2","100","Handel och hållbar utveckling"
"HANHAN0","Handel och hållbar utveckling","100","Handel"
"HANHAN00S","Handel – specialisering","100","Handel"
"HANL1000X","Nivå 1","50","Handledning i vård och omsorg"
"HANL2000X","Nivå 2","50","Handledning i vård och omsorg"
"HANPRA01","Praktisk marknadsföring 1","100","Handel"
"HANPRA02","Praktisk marknadsföring 2","100","Handel"
"HANV1N0","Nivå 1","200","Hantverk och produktion"
"HANV2N0","Nivå 2","100","Hantverk och produktion"
"HAOHAL01","Hälso- och sjukvård 1","100","Hälso- och sjukvård"
"HAOHAL02","Hälso- och sjukvård 2","100","Hälso- och sjukvård"
"HAORAD0","Räddningsmedicin","100","Hälso- och sjukvård"
"HARC1000X","Nivå 1","200","Hår och makeup – fortsättning"
"HARC2000X","Nivå 2","200","Hår och makeup – fortsättning"
"HARC3000X","Nivå 3","200","Hår och makeup – fortsättning"
"HARC4000X","Nivå 4","100","Hår och makeup – fortsättning"
"HARO1000X","Nivå 1","100","Hår och makeup – fördjupning"
"HARO2000X","Nivå 2","100","Hår och makeup – fördjupning"
"HARO3000X","Nivå 3","100","Hår och makeup – fördjupning"
"HARS1000X","Nivå 1","200","Hårstyling och makeupteknik"
"HARS2000X","Nivå 2","200","Hårstyling och makeupteknik"
"HARV1000X","Nivå 1","100","Hårvård och salongskunskap"
"HARV2000X","Nivå 2","200","Hårvård och salongskunskap"
"HASA1N0","Nivå 1","100","Hälsa"
"HASA2N0","Nivå 2","100","Hälsa"
"HASHAL51","Hälsa 1","100","Hälsa"
"HASHAL52","Hälsa 2","100","Hälsa"
"HASK1N0","Nivå 1","100","Hästkunskap"
"HASK2N0","Nivå 2","200","Hästkunskap"
"HASS1000X","Nivå 1","200","Hästsportanläggningars skötsel och drift"
"HAST1000X","Nivå 1","100","Hästkunskap"
"HAST2000X","Nivå 2","100","Hästkunskap"
"HAST3000X","Nivå 3","100","Hästkunskap"
"HAUHAS51","Hästkunskap 1","100","Hästkunskap"
"HAUHAS52","Hästkunskap 2","100","Hästkunskap"
"HAUHAS53","Hästkunskap 3","100","Hästkunskap"
"HAURID51","Ridning och körning 1","100","Hästkunskap"
"HAURID52","Ridning och körning 2","100","Hästkunskap"
"HAVBAR02","Barberare 2","200","Hantverk"
"HAVBAR03","Barberare 3","200","Hantverk"
"HAVBAR04","Barberare 4","200","Hantverk"
"HAVBAR05","Barberare 5","200","Hantverk"
"HAVBAR06a","Barberare 6a","100","Hantverk"
"HAVBAR06b","Barberare 6b","50","Hantverk"
"HAVFIN01","Finsnickeri 1","200","Hantverk"
"HAVFIN02","Finsnickeri 2","200","Hantverk"
"HAVFIN03","Finsnickeri 3","200","Hantverk"
"HAVFIN04","Finsnickeri 4","200","Hantverk"
"HAVFIN04S","Finsnickeri 4 – specialisering","50","Hantverk"
"HAVFIN05","Finsnickeri 5","200","Hantverk"
"HAVFIN05S","Finsnickeri 5 – specialisering","50","Hantverk"
"HAVFIN06a","Finsnickeri 6a","100","Hantverk"
"HAVFIN06b","Finsnickeri 6b","50","Hantverk"
"HAVFLO01","Florist 1","200","Hantverk"
"HAVFLO02","Florist 2","200","Hantverk"
"HAVFLO03","Florist 3","200","Hantverk"
"HAVFLO04","Florist 4","200","Hantverk"
"HAVFLO04S","Florist 4 – specialisering","50","Hantverk"
"HAVFLO05","Florist 5","200","Hantverk"
"HAVFLO05S","Florist 5 – specialisering","50","Hantverk"
"HAVFLO06a","Florist 6a","100","Hantverk"
"HAVFLO06b","Florist 6b","50","Hantverk"
"HAVFRI01","Frisör 1","200","Hantverk"
"HAVFRI02","Frisör 2","200","Hantverk"
"HAVFRI03","Frisör 3","200","Hantverk"
"HAVFRI04","Frisör 4","200","Hantverk"
"HAVFRI04S","Frisör 4 – specialisering","50","Hantverk"
"HAVFRI05","Frisör 5","200","Hantverk"
"HAVFRI05S","Frisör 5 – specialisering","50","Hantverk"
